제천대성	齊天大聖
제천대성 진모리	齊天大聖陳毛利
해태 한대위	獬豸韓大偉
여포봉선 유미라	呂布奉先劉美羅
직접계약 백승철	直接契約白勝哲
호조사 박일표	狐祖師朴一表
TheSix 박무진	The Six朴武真
비숍 상만진	主教常萬真
TheSix 웅녀	The Six熊女
작은 웅녀	小熊女
어린 박무진	少年朴武真
젊은 나봉침	青年羅峰針
걸인 서한량	乞丐徐閑良
마술사 전재산	魔術師全載山
학생 김두식	學生金斗植
탐욕의 제갈택	貪婪的諸葛澤
집행위원 R	執行委員R
집행위원 P	執行委員P
집행위원 T	執行委員T
집행위원 X	執行委員X
집행위원 O	執行委員O
집행위원 Q	執行委員Q
집행위원 S	執行委員S
메딕 힐	護士敘兒
메딕 사이	護士莎伊
KING	KING
TheSix 나봉침	The Six羅峰針
TheSix 서한량	The Six徐閑良
TheSix 전재산	The Six全載山
TheSix 김두식	The Six金斗植
제갈택	諸葛澤
세턴	賽頓
엑슬리	埃斯利
맥도날드	麥克唐納
베도베도	貝多貝多
츠바	茲巴
데베메	德貝麥
우마왕	牛魔王
필마온	弼馬溫
진태진	陳太晨
리수혁	李秀赫
비숍 바이런	主教拜倫
투신 아르둔	鬥神 阿頓
투신 룟	鬥神 略特
투신 좌라	鬥神 佐拉
외팔 진태진	獨臂 陳太晨
판도라 리수진	潘多拉 李秀珍
휘모리	輝毛利
비숍 울티오 R	主教 ULTIO R
프리스트 빅맨	牧師骷髏人
천상의 네피림	天界墮落者
천상의 거신	天界巨像
천상의 폭군	天界暴君
천상군 엔젤로	天界安吉洛
이그니스	伊格尼斯
카난	卡南
좌치	左治
우치	右治
4대천장 뮹	四大天將覓
4대천장 라콩	四大天將拉空
4대천장 류진	四大天將柳真
진모리	陳毛利
한대위	韓大偉
유미라	劉美羅
백승철	白勝哲
박일표	朴一表
마미선	馬美善
고감도	高甘都
강만석	江宛石
다나와	多南羽
나기동	羅基東
장장미	張薔薇
진품광	陳品光
이마린	李馬林
명문대	明文岱
페이롱	飛龍
나한성	羅漢成
우건아	禹建亞
귐기	鬼基
이향단	李香丹
전주곡	全奏曲
류현복	柳賢福
박승아	朴勝雅
마보라	馬保羅
서민서	徐敏西
유상민	劉尚民
변재희	邊財熙
남궁도	南宮道
폭주전주곡	暴走全奏曲
태백호	太白浩
황대성	黃大成
김구단	金九段
차도리	車鬥里
동파 이일호	東波高李一號
동파 박이호	東波高朴二號
동파 김삼호	東波高金三號
김동현	金東賢
김종수	金鍾秀
한시우	韓時佑
임훈필	林勳弼
이지연	李智妍
최선	崔善
신채원	申彩元
천성인	千聖仁
랜디	廉迪
김재영	金在榮
지현	智賢
이재민	李在民
박팀장	朴組長
김기사	金司機
윤실장	尹室長
최부장	崔部長
도정환	都正煥
강승주	姜承洙
권세환	權世煥
유신	柳信
수지	秀芝
이해진	李海珍
나나	娜娜
뚱보 김씨	金胖子
충식	忠植
진남	真男
홍형사	洪警官
레오	雷奧
육승모	陸勝模
이은범	李恩範
이은결	李銀潔
두호	鬥浩
광수	光洙
엔젤로	安吉洛
아벨	亞伯
카인	該隱
코드네임_ZE	代碼_ZE
쉐인	肖恩
카푸	卡夫
하겐티	哈格尼特
베리알	彼勒
레기온	萊基昂
스컬	斯科爾
스켈	斯凱爾
스칼	斯卡爾
스키퍼	斯基博
스코	斯考
스콜	斯哥爾
타취	打吹
우진	禹鎮
수휘	壽輝
진산	鎮山
류운	劉云
우희	牛姬
꿀이	寶豬
꽃꿀이	花豬
맷꿀이	麥豬
흑꿀이	黑豬
황금꿀이	金豬
지옥의 출혈술사	地獄出血術師
지옥의 중독술사	地獄中毒術師
회복술사	恢復術師
방패해골	鐮刀死神骷髏
마법사 해골	骷髏法師
마비의 해골법사	癱瘓的骷髏法師
화상의 해골법사	燃燒的骷髏法師
회복의 해골법사	恢復的骷髏法師
2성 강화재료	2星強化材料
3성 강화재료	3星強化材料
4성 강화재료	4星強化材料
5성 강화재료	5星強化材料
6성 강화재료	6星強化材料
2~3성 강화재료	2~3星強化材料
3~4성 강화재료	3~4星強化材料
4~5성 강화재료	4~5星強化材料
5~6성 강화재료	5~6星強化材料
석가여래	如來佛祖
사원의 부처	地牢佛祖
페이롱 도플갱어	飛龍分身
제갈택 도플갱어	諸葛澤分身
사원의 무투가	地牢武鬥家
사원의 차력사	地牢借力師
신비의 여성	神秘女性
방패 사나이	盾牌男
근육질 탱커	肌肉肉盾
감전 폭탄마	觸電炸彈魔
중독 폭탄마	中毒炸彈魔
칼을던지는 소녀	飛刀少女
날렵한 소녀	靈巧少女
천상의 엔젤로	天界安吉洛
날쌘꼬마	敏捷小孩
사신낫의 해골	鐮刀死神骷髏
방패해골	盾牌骷髏
마법사 해골	魔法師骷髏
무투 룬의사원 지배자	武鬥符文地牢支配者
차력 룬의사원 지배자	借力符文地牢支配者
신비한 룬의사원 지배자	神秘符文地牢支配者
실명 폭탄마	失明炸彈魔
침묵 폭탄마	沉默炸彈魔
날렵한 신도	靈巧信徒
칼을 던지는 신도	飛刀信徒
축복을 내리는 신도	賜福信徒
필마온성의 폭군	弼馬溫城暴君
난폭한 성지기	粗暴守城者
의문의 인물	可疑人物
과거 제천대성의 기억이 돌아온 진모리는 비록 리미트 시간이 짧긴 하지만 여의와 뇌전을 이용한 전투가 특징이다. 추후 그의 호리병을 찾게 되면 더욱 성장할 것으로 보여진다.	找回齊天大聖記憶的陳毛利,恢復記憶時間雖短,但他擅於利用如意棒和雷電進行戰鬥。以後若能找到自己的葫蘆瓶, 預計將有極大的成長空間。
차력으로 신수인 해태를 데리고 다니는 한대위는 극진공수도의 공격에 해태의 술을 더해 공격과 방어가 절묘하게 어우러져 프리스트 엑슬리가 인정했을 정도로 강력하다.	將神獸獬豸作為其借力的韓大偉將極真空手道的攻擊與獬豸術結合後,形成了完美的攻防技術,甚至得到了牧師埃斯利的認可。
중국 최대 최고의 무신 여포 봉선을 차력으로 지닌 유미라. 여린 외모와 다르게 강력한 힘과 스피드를 지니고 있으며, 국보 봉선의 힘까지 더해져 가장 성장 가능성이 큰것으로\n보여진다.	將中國最高武神呂布奉先作為其借力的劉美羅,外表看似柔弱,但卻擁有強大的力量和速度,而且又加上國寶奉先的力量後, 她的成長空間巨大。
우마왕의 마음을 사로잡고 우마왕을 지키던 중, 우마왕의 뿔을 이용하여 직접계약을 하게 된다. 하지만 정작 본인은 심령을 믿지 않는 이성주의자.. 언제쯤 곁에 있는 우마왕의 영혼을 눈치 챌지 아직 알 수 없다.	俘獲牛魔王的芳心並守護牛魔王時,利用牛魔王的角完成了直接契約。但本人卻是一位獨立於感知的理性主義者.....不知什麼時候能發現無時無刻在其身邊的牛魔王靈魂的存在。
직접계약 박일표는 열쇠가 조각난 후, 그 조각을 찾기위한 여행 중 구미호 호조사의 육체를 만나게 되고 직접계약을 하게된다. 그로 인해 기존의 뛰어난 전투능력과 금제를 해제 할 수 있는 능력까지 지니게 된다.	當鑰匙成為碎片後,直接契約者朴一表在尋找其碎片的過程中遇到了九尾狐狐祖師的肉身,並完成直接契約。因此他擁有了超凡的戰鬥能力和可解除禁制的能力。
최연소 인간문화재이자, 미래의 무언가(?)를 위해 GOH를 개최한 인물 TheSix 박무진 (본명 :박무봉). 본명으로 불리는 것을 매우 싫어하며, 상만진과의 과거인연은 아직 밝혀지지 않은 상태이다.	最年輕的非物質文化遺產傳承人及為將來的什麼(?)而舉辦高校之神比賽的The Six之一的朴武真(本名：朴武峰)。他最討厭別人直呼其本名,而且與常萬真之間的恩恩怨怨尚屬未解之謎。
녹스의 비숍이자 모든 녹스의 침략과 습격의 배후인물. 상만진은 과거 박무진과의 인연이 있는 것으로 보여지는데 아직까지는 알 수 없는 상태이다. 하지만 언뜻 보여지는 그 힘의 끝은 엄청날 것으로 보여진다.	他是諾克斯主教及指使諾克斯所有侵略和襲擊事件的幕後操縱者。常萬真與朴武真的恩恩怨怨尚屬不解之謎,且無法臆測其力量。
마보라에 의해 열쇠전쟁 중 깨어난 웅녀는 차력과 무투 능력이 매우 뛰어나며 TheSix 중에서도 가장 강력하다고 알려져 있을 뿐, 그녀의 실제 능력을 제대로 알고 있는 이는 매우 드물다.	在爭奪鑰匙的對戰中因馬保羅而甦醒的熊女擁有超凡的借力和武鬥能力,且在The Six中首屈一指,不過見識過其真正實力的人卻屈指可數。
웅녀는 강력한 차력을 사용하면 어려지는 특이한(?) 체질이다. 그녀가 지금 작은 것은 강력한 힘을 사용한 탓인지.. 진정 어린시절 당시의 모습인건지 알 수 없다. 하지만 여전히 강력하다는 사실..!	熊女具有使用強大借力會變回幼年期的特殊(?)體質。如今的她如此年輕是因為使用了強大力量,還是其幼年期的模樣誰都不知,不過她依然很強大.....!
최연소로 더 식스의 시험을 치른 박무진.. 학생이라고 볼 수 없을정도로 엄청난 잠재력과 강력한 힘을 지니고 있다. 다만 너무 강한 나머지 건방진 성격..으로 선배들의 타겟이 되곤한다.	以最小年紀透過The Six比試的朴武真.....雖是學生,卻擁有著巨大的潛在力和強大的力量。由於過於強大,性格傲慢,總是自以為是,因此成了前輩們攻擊的對象。
나봉침은 자신만의 나봉침류를 개발하고있다. 하지만 아직 부족하다 느껴 시도때도 없이 폐관수련을 하는데.. 그는 부족한 육체의 힘을 보완하기 위해 "신선과"를 애타게 찾고 있다고 한다.	羅峰針獨創了羅峰針類,不過總自認為不夠完美,於是時不時進行閉關修煉。據說,他為了彌補自己肉體力量的不足,正迫切地尋找“神仙果”。
걸인 서한량은 무기를 매우 잘 다루며, 특히 봉술은 그를 따라올 사람이 없을 정도이다. 하지만 그의 단 한가지 단점은.. 일을 하는것보다 노숙을 즐긴다는것! 그러다 보니.. 간혹!! 서울역에서 서한량과 마주칠 수 있다.	乞丐徐閑良最擅長使用武器,特別是棒法無人可及,不過他的唯一缺點是享受露宿風餐!因此,偶爾會在首爾地鐵站能與其相遇。
전재산은 뛰어난 마술실력과 연금술로 일찍이 마술사협회에서 인정받은 인물이다. 특히 마술과 연금술의 조합으로 만들어내는 그의 강력한 스킬 공격은 매우 위협적이다.	全載山以超強的魔術實力和煉金術很早就得到了魔術師協會的認可。特別是魔術和煉金術相結合而施放的強大技能攻擊,將給對方造成巨大威脅。
어려서부터 엄청난 괴력을 자랑하는 김두식.. 괴력과 덩치에는 어울리지 않지만 아직은 어린 고등학생이다. 그는 언제나 꼭! 한 손에 가방을 들고 다니는데.. 특이하게도 전투 중에 가방을 절대 손에서 놓지 않는다.	從小就顯示出超凡能力的金斗植,其實他還是一名高中生。他的一隻手總是拿著一個包,奇怪的是在打鬥中也絕不丟掉。
박일표의 열쇠를 먹어버린 탐욕의 제갈택. 그는 지속적인 "각성"을 통해 이전의 모습을 찾아보기 힘들 정도로 보다 강력하여 신의 힘에 필적하고 있는 상태이다.	吞掉朴一表鑰匙的貪婪的諸葛澤。他透過持續“覺醒”,完全晉升到了更高境界,以至於達到可以與神並肩的人。
