나를 지켜줘	十里重生
천위의 기사 아론	天國騎士 亞倫
영혼 순찰자 아맨다	靈魂守護者 艾曼達
번개 대현자 에리카	雷霆智者 艾麗卡
저주 사냥꾼 쏘냐	詛咒獵人 索尼婭
복수의 그림자 킬리안	復仇暗影 基利安
불꽃 주술사 샤르마	烈火女巫 夏爾瑪
불꽃 주술사 샤르마 그림자	烈火女巫 夏爾瑪暗影
배쉬	重擊
리프 어택	跳躍攻擊
파워 범버	暴力轟炸
체인 스트라이크	連鎖暴擊
썬더 볼트	雷電
라이트닝 레이지	雷電之怒
커즈 애로우	詛咒之箭
데스 윈드	死亡風暴
대거 댄스	劍舞
패스트 블릿츠	飛速突襲
애비스 파이어	深淵之火
파이어 미러	火之鏡
파이어 포스	火力
거대한 검으로 전방을 향해 강한 횡베기 공격을 합니다.	使用巨劍向前進行強烈橫劈攻擊。
적을 향해 높이 뛰어 오른 후 강한 내려찍기 공격을 합니다.	跳躍至空中向敵人進行猛烈下劈攻擊。
원거리의 적을 향해 강력한 포탄을 쏘아 공격합니다.	向遠處的敵人發射超強炮彈攻擊。
타겟방향으로 강력한 포를 쏘아 직선형 범위 공격을 합니다.	向目標方向發射超強炮彈，可在直線範圍內攻擊。
타겟과 그 주변을 향해 강력한 번개를 내리치게 합니다.	對目標及其周圍放射超強雷電攻擊。
타겟과 그 주변의 적들에게 강력한 번개를 내리쳐 공격을 합니다.	對目標及其周圍敵人放射超強雷電攻擊。
화살을 적에게 쏘아 저주 지역을 생성합니다. 생성된 지역은8초간 지속되고, 지역내에 있는 적은 저주 상태가 되어 방어력이 감소합니다.	對敵人射箭，並形成詛咒區域。所形成的詛咒區域持續8秒，位於區域內的敵人處於詛咒狀態，防禦力下降。
저주 상태의 적을 공격하면, 치명타 확률과 치명타 피해가 증가합니다."	"向敵人射出超強的箭進行攻擊。
전방을 향해 단검으로 춤을 추듯이 날카로운 베기 공격을 합니다.	朝向前方，舞動短劍發出犀利攻擊。
스테이지 진행 시 즉시 사용합니다."	"奇襲位於遠處的敵人。
심연의 불꽃을 일으켜 파티원들의 레벨을 일시적으로 상승시킵니다. 모험 모드에서 매 스테이지 시작 시 한번 시전합니다.	召喚深淵之火，暫時提升隊員們等級。在冒險模式下，每個關卡開始時使用一次。
주술을 통해 무희를 도와줄 분신을 매스테이지 마다 소환합니다. 소환된 분신의 능력은 무희의 능력에 비례합니다.	在每個關卡利用巫術召喚分身幫助夏爾瑪。所召喚的分身能力與夏爾瑪姬的能力成正比。
불의 기운을 퍼트려 모든 아군 파티원의 공격력을 증가시킵니다.	散播火焰之力，可以增加我隊所有成員的攻擊力。
갑옷 숙달 I	精通盔甲 I
생명력 숙달 I	精通生命 I
결정 흡수 지원	輔助晶石吸收
용맹의 기운 I	勇猛之力 I
갑옷 숙달 II	精通盔甲 II
생명력 숙달 II	精通生命 II
갑옷 숙달 III	精通盔甲 III
생명력 숙달 III	精通生命 III
생명의 기운 II	生命之力 II
갑옷 숙달  IV	精通盔甲 IV
생명력 숙달  IV	精通生命 IV
단단한 기운 III	強壯之力 III
생명의 기운 I	生命之力 I
효율적 성장	大幅增加
단단한 기운 II	強壯之力 III
용맹의 기운 III	勇猛之力 III
단단한 기운 I	強壯之力 I
용맹의 기운 II	勇猛之力 II
가벼운 기운	輕盈之力
생명의 기운 III	生命之力 III
신속한 결정 흡수 I	快速晶石吸收 I
결정 흡수 숙달 I	精通晶石吸收 I
용의 소녀 효율적 성장 I	龍之少女大幅增加 I
효율적 성장 I	大幅增加 I
Passive_Name_0062	Passive_Name_0062
결정 흡수 숙달 II	精通晶石吸收 II
용의 소녀 효율적 성장 II	龍之少女大幅增加 II
효율적 성장 II	大幅增加 II
신속한 결정 흡수 II	快速晶石吸收 II
결정 흡수 숙달 III	精通晶石吸收 III
용의 소녀 효율적 성장 III	龍之少女大幅增加 III
효율적 성장 III	大幅增加 III
환생의 본성 III	重生本能 III
결정 흡수 숙달  IV	精通晶石吸收 IV
용의 소녀 효율적 성장  IV	龍之少女大幅增加 IV
효율적 성장  IV	大幅增加 IV
환생의 본성  IV	重生本能IV
신속한 결정 흡수 III	快速晶石吸收 III
신속한 결정 흡수	快速晶石吸收
민첩의 기운	敏捷之力
정화의 결정 획득량 +{0:P}%"	"幫助龍之少女吸收晶石。
방어력 +{0:P}%"	"精通盔甲的使用。
파티원 레벨업 비용 감소율 +{0:P}%"	"大幅度地增加隊員。
파티원 방어력 +{0:P}%"	"賦予隊員強壯之力。
파티원 공격력 +{0:P}%"	"賦予隊員們勇猛之力。
파티원 이동 속도 +{0:P}%"	"賦予隊員們輕盈之力。
파티원 최대 체력 +{0:P}%"	"賦予隊員們生命之力。
Passive_Description_0062	Passive_Description_0062
정화의 결정 획득 시간 {0}초 감소"	"龍之少女更快速地吸收淨化晶石。
치명타 성공율 +{0:P}%"	"更容易找到敵 人的弱點。
파티원 회피율 +{0:P}%"	"賦予隊員們敏捷之力。
소드 I	劍 I
소드 II	劍 II
소드 III	劍 III
소드 IV	劍 IV
슬레이어 I	殺戮者 I
슬레이어 II	殺戮者 II
슬레이어 III	殺戮者 III
슬레이어 IV	殺戮者 IV
헤비 소드 I	重劍 I
헤비 소드 II	重劍 II
헤비 소드 III	重劍 III
헤비 소드 IV	重劍 IV
클레이 모어	巨劍
워리어 스프릿	戰士之神
세컨드 라이프	第二生命
레틀러	響尾蛇
미스릴 소드	祕銀劍
쯔바이 핸더	雙手劍
데스브링거	死亡使者
드래곤 본즈	龍骨
핸드 캐논 I	手持火炮 I
핸드 캐논 II	手持火炮 II
핸드 캐논 III	手持火炮 III
핸드 캐논 IV	手持火炮 IV
배틀 캐논 I	戰鬥炮 I
배틀 캐논 II	戰鬥炮 II
배틀 캐논 III	戰鬥炮 III
배틀 캐논 IV	戰鬥炮 IV
그레이트 캐논 I	超級戰鬥炮 I
그레이트 캐논 II	超級戰鬥炮 II
그레이트 캐논 III	超級戰鬥炮 III
그레이트 캐논 IV	超級戰鬥炮 IV
매직 캐논	魔法炮
리볼버	左輪槍
컬버린	長管炮
바실리스크	蜥蜴
팔코넷	鷹炮
봄바드	攻城炮
몬스 멕	芒斯蒙哥大炮
레퍼리(Referee)	仲裁者
매직 오브 I	魔法球 I
매직 오브 II	魔法球 II
매직 오브 III	魔法球 III
매직 오브 IV	魔法球 IV
소울 오브 I	靈魂球 I
소울 오브 II	靈魂球 II
소울 오브 III	靈魂球 III
소울 오브 IV	靈魂球 IV
카오스 오브 I	混沌球 I
카오스 오브 II	混沌球 II
카오스 오브 III	混沌球 III
카오스 오브 IV	混沌球 IV
레드 아이	赤瞳
데빌 트레이스	魔跡
네추럴 파워	自然之力
엔리멘탈 파워	元素之力
미스터리 웨이브	神奇波
쉐도우 화이어	影火
드래곤 아이즈	龍眼
위자드 브레스	魔法氣息
숏보우 I	短弓 I
숏보우 II	短弓 II
숏보우 III	短弓 III
숏보우 IV	短弓 IV
롱보우 I	長弓 I
롱보우 II	長弓 II
롱보우 III	長弓 III
롱보우 IV	長弓 IV
리커브 보우 I	反曲弓 I
리커브 보우 II	反曲弓 II
리커브 보우 III	反曲弓 III
리커브 보우 IV	反曲弓 IV
그레이트 보우	大弓
레인져 보우	遊俠弓
아웃레이지	暴擊
소울 헌팅	靈魂狩獵
발리스타	弩炮
피스메이커	調解者
다이너스티 보우	王朝之弓
윈드 브레이커	風之破壞者
대거 I	匕首 I
대거 II	匕首 II
대거 III	匕首 III
대거 IV	匕首 IV
크리스 I	格里斯劍 I
크리스 II	格里斯劍 II
크리스 III	格里斯劍 III
크리스 IV	格里斯劍 IV
그라디우스 I	羅馬短劍 I
그라디우스 II	羅馬短劍 II
그라디우스 III	羅馬短劍 III
그라디우스 IV	羅馬短劍 IV
스틸레토	短劍
카타르	拳劍
망고슈	左手劍
다마스커스	大馬士革刀
쿠나이	苦無
발리송	蝴蝶刀
페스카즈	佩什喀尖刀
스컬 엣지	骨刃
라이트 팬 I	小扇 I
라이트 팬 II	小扇 II
라이트 팬 III	小扇 III
라이트 팬 IV	小扇 IV
딕 팬 I	裝飾扇 I
딕 팬 II	裝飾扇 II
딕 팬 III	裝飾扇 II
딕 팬 IV	裝飾扇 IV
스틸 팬 I	鋼扇 I
스틸 팬 II	鋼扇 II
스틸 팬 III	鋼扇 III
스틸 팬 IV	鋼扇 IV
고딕룬 팬	哥特式符文盤
에이션트 참	古韻
챠밍 포스	魅惑之力
히어로 오브 딕	甲板英雄
배틀 시그네처	戰鬥簽名
템테이션	誘惑
퀸즈 데코레이션	女王勳章
블랙 핸드	黑手
용의 소녀 유이나	龍之少女尤 伊娜
몬스터 처치	殺死怪物
중형 몬스터 처치	殺死中級怪物
보스 몬스터 처치	殺死首領怪物
매직 몬스터 처치	殺死魔法怪物
환생 하기	重生
슬라임 박스 목격	發現史萊姆箱子
용의 소녀 레벨 올리기	龍之少女升級
천위의 기사 레벨 올리기	天國騎士升級
영혼 순찰자 레벨 올리기	靈魂守護者升級
번개 대현자 레벨 올리기	雷霆智者升級
용의 소녀 별등급 올리기	龍之少女升星
천위의 기사 별등급 올리기	天國騎士升星
영혼 순찰자 별등급 올리기	靈魂守護者升星
번개 대현자 별등급 올리기	雷霆智者升星
무기 획득	獲得武器
에픽무기 획득	獲得史詩武器
전설무기 획득	獲得傳說武器
유물무기 획득	獲得神器武器
저주 사냥꾼 레벨 올리기	詛咒獵人升級
저주 사냥꾼 별등급 올리기	詛咒獵人升星
복수의 그림자 레벨 올리기	復仇暗影升級
복수의 그림자 별등급 올리기	復仇暗影升星
불꽃 주술사 레벨 올리기	烈火女巫升級
불꽃 주술사 별등급 올리기	烈火女巫升星
영혼 획득량 증가	增加靈魂獲取數量
소녀의 기도 시간 증가	延長少女的祈禱時間
소녀의 기도 빠른 회복	快速恢復少女的祈禱
슬라임 박스 업그레이드	升級黏液箱子
빠른 정화의 결정 획득	加速獲得淨化晶石
이동속도 증가	提高移動速度
전투속도 증가"	"離線時
Shop_Name_009	Shop_Name_009
캐릭터 레벨 100 증가	英雄等級提升100級
2배속급 전투	2倍速度加速戰鬥
정화의 결정 구매	購買淨化晶石
정화의 결정 대량 구매	大量購買淨化晶石
환생 시 영혼의 양이 {0:P}% 늘어납니다	重生時靈魂數量增加{0:P}%
스테이지 모드에 등장하는 몬스터 레벨이 {0}만큼 하락합니다	關卡模式中出現的怪物等級降低{0}
<소녀의 기도> 지속시간이 {0}초 늘어납니다.	<少女的祈禱>的持續時間延長{0}秒
<소녀의 기도>가 {0}초 더 빨리 회복합니다.	<少女的祈禱>的恢復時間提前{0}秒
슬라임 박스가 {0:P}% 더 자주 등장합니다	史萊姆箱子的出現機率增加{0:P}%
용의 소녀의 결정획득 시간이 {0}초 감소합니다.	龍之少女獲得晶石的時間減少{0}秒
이동속도가 {0:P}% 증가합니다	移動速度增加{0:P}%
게임을 껐을 때 스테이지 진행 속도가 {0:P}% 증가합니다.	關閉遊戲時，過關速度增加{0:P}%
Shop_Description_009	Shop_Description_009
캐릭터 레벨과 관련 수치 표기는 영향을 받지 않습니다."	"所有英雄等級提升{0}級
15분동안 2배속 느낌이 날 정도로 빠르게 전투합니다	15分鐘內2倍速度加速戰鬥
45분동안 3배속 느낌이 날 정도로 더 빠르게 전투합니다	45分鐘內3倍速度加速戰鬥
소량의 정화의 결정을 구매합니다	購買少量的淨化晶石
대량의 정화의 결정을 구매합니다	購買大量的淨化晶石
보석 몇 개	寶石數個
보석 한주먹	寶石一袋
보석 주머니	寶石袋
가득 찬 보석 주머니	裝滿的寶石袋
보석 상자	寶石箱
보석 수레	寶石車
감사 패키지	感恩禮包
일일 패키지	日常禮包
월간 패키지"	"高級
월간 패키지"	"豪華
월간 패키지"	"超值
패키지"	"詛咒獵人
데빌 패키지"	"天國騎士
유물 패키지"	"天國騎士
데빌 패키지"	"靈魂守護者
유물 패키지"	"靈魂守護者
데빌 패키지"	"雷霆智者
유물 패키지"	"雷霆智者
데빌 패키지"	"詛咒獵人
유물 패키지"	"詛咒獵人
축복 패키지"	"天國騎士
축복 패키지"	"靈魂守護者
축복 패키지"	"雷霆智者
축복 패키지"	"詛咒獵人
챔피언 패키지"	"天國騎士
챔피언 패키지"	"靈魂守護者
챔피언 패키지"	"雷霆智者
챔피언 패키지"	"詛咒獵人
패키지"	"復仇暗影豪華
데빌 패키지"	"復仇暗影
유물 패키지"	"復仇暗影
축복 패키지"	"復仇暗影
